Date,Andheri,B ward,Bandra,Byculla,C ward,Chembur,Chincholi,Colaba,D Ward,Dahisar,Dindoshi,F North,F South,G South,Gowanpada,H West ward,K East ward,K West ward,Kandivali,Kurla,L ward,M West ward,MCGM 1,Malvani,Marol,Memonwada,Mulund,N ward,Nariman Fire,Rawali camp,S ward,SWD Workshop dadar,Thakare natya,Vikhroli,Worli,vileparle W
2024-06-14 0:00:00,22.28050613,12.60992527,15.35112286,15.37846565,9.668474197,26.06181717,22.81826782,14.39271927,16.39118195,25.65163803,12.29987144,20.80999374,17.11162376,20.80328369,24.49384689,15.58505726,21.96894455,25.37062454,18.62723541,17.10732269,17.49287415,17.63838577,19.90077782,24.50583076,18.58727074,16.60106659,14.07025909,15.25308037,10.70009422,18.73342896,20.86376381,25.46167755,29.27865219,22.44544792,27.68574905,17.00083542
2024-06-15 0:00:00,14.45831871,13.14259148,13.6285305,10.67284966,7.590205193,16.4700737,11.96244907,9.383529663,9.313005447,13.7867527,7.184627056,12.74371338,12.60702896,12.21206379,13.35204411,8.237388611,12.16052628,15.54265594,8.613777161,11.02812767,12.64391327,11.69717884,12.67201805,9.668282509,13.23991299,10.78619766,10.75493717,11.15741539,8.1135149,9.048754692,13.88408852,14.78360844,15.88032722,13.79306126,12.7795229,11.50539112
2024-06-16 0:00:00,8.128385544,3.435555935,4.716587543,3.232315063,5.630757809,9.133298874,4.987388611,0,1.604566813,5.648031235,3.573865652,6.873947144,0.641020298,2.793356657,5.909235001,4.115536213,6.180363655,7.626249313,3.935454845,4.311551094,9.581046104,7.262953758,8.346769333,3.588475466,4.782461643,0,6.113336086,4.782576561,5.839526176,5.647322178,5.057681084,7.794227123,8.185796738,5.105621815,5.105376244,7.356822014
2024-06-17 0:00:00,9.81968689,1.071516871,7.013397694,6.127502441,7.859564781,13.78306198,7.797352791,6.51255846,6.976086617,12.45136833,4.034142971,9.819542885,9.819375992,3.228816748,8.471643448,4.652689457,6.914400101,11.03348351,5.469491482,5.562816143,11.63661003,10.65014839,10.17845917,3.743706942,6.450993061,0,6.59442997,9.253505707,7.069092274,7.860320091,6.470502853,9.05100441,11.84833622,7.874198437,6.591769218,9.548788071
2024-06-18 0:00:00,11.34653473,3.914843082,6.493580341,9.928653717,6.131042004,14.30993462,7.54974699,9.071557999,8.814186096,13.46761894,5.031857491,11.11268425,10.58402538,5.031116009,8.61335659,6.452113152,15.43811226,13.63492966,7.316385269,6.695091724,12.69590378,12.79246902,11.6153574,7.764349937,8.495972633,2.521164894,5.020138741,9.193489075,12.2090168,9.452262878,7.897339821,12.68160057,15.04996014,6.233027935,13.05309391,9.776654243
2024-06-19 0:00:00,14.99750996,9.91082859,12.65875816,15.04280472,7.255124569,18.04208946,11.145504,13.02743721,13.17798615,16.69721413,9.701560974,14.99273872,14.81798744,9.668129921,13.47064686,11.78920269,19.97965622,18.07395554,11.37339592,14.70651054,15.94937897,17.35728073,13.55897617,9.652918816,13.67444992,12.03612232,9.473899841,16.265522,15.41224861,10.70009708,14.67075157,18.00499344,18.41527557,12.10429001,15.59502411,13.77511024
2024-06-20 0:00:00,19.62082291,22.4636364,21.48896027,19.91128349,12.46436405,25.85198593,21.49355698,15.4011631,15.45736885,24.34340096,23.75525856,18.47912598,20.78053284,17.52176666,21.91106415,23.23341179,25.39312744,23.15466499,17.84267998,25.80204582,21.31388474,25.29358673,17.29678535,24.77752304,25.23779297,18.66170311,20.15197372,18.62881279,16.1235199,12.78105927,24.26148415,21.55908394,24.91372871,25.66666222,19.7962265,18.86026573
2024-06-21 0:00:00,15.29368401,12.61523914,11.49829483,15.25179291,7.040790081,19.19223404,11.98565865,10.40062618,11.76455879,16.65874481,8.838844299,14.976511,14.58644867,12.34995651,15.20540428,11.43044662,18.9705925,17.99659538,11.15619278,13.39125252,15.79129982,16.23205566,13.65277958,12.67187405,13.63087273,10.04778194,10.83301353,11.93968296,12.12910748,11.28238297,13.73594284,17.19701767,15.93070126,12.54245281,16.88680458,13.10767365
2024-06-22 0:00:00,18.24738693,13.60838413,12.15848732,13.05936623,7.063140392,21.95492172,18.26418304,10.36400032,14.14232063,17.39547157,9.958343506,17.09648705,16.56214523,13.66682339,18.50815582,11.72735786,19.72462463,20.56192207,12.74027634,13.39162254,15.59954643,16.72425079,16.54289818,18.41734886,12.39426613,15.00962639,10.63701439,13.17809868,7.251069069,13.90963936,18.21827888,20.02675438,18.08912277,15.64751911,20.73174477,15.50871849
2024-06-23 0:00:00,12.42353439,7.433773518,7.824525356,7.898682594,6.256317616,15.63039589,8.029622078,11.61480331,8.11905098,10.01783943,6.409754753,11.36395645,12.60087776,9.075798035,8.935653687,5.352189541,13.05871391,13.04210472,9.103270531,7.498631954,12.94106102,10.01067352,13.25049305,11.71822262,9.713136673,9.474719048,11.59421635,7.157347679,6.645466805,8.866663933,10.01627159,10.65604115,7.604722023,10.54879665,11.86785412,11.43287849
2024-06-24 0:00:00,13.78406239,8.81340313,10.48546219,13.01244736,6.283847809,17.15279579,11.80288124,10.63858032,10.57406425,14.75419998,7.749622822,14.18280602,14.62477493,9.553251266,10.27926159,7.42020607,18.941576,16.43365669,11.6070652,10.18402481,14.34470177,15.24831581,12.26403904,12.29025555,11.21557045,9.544858932,9.18803215,10.88164425,11.98875141,10.29845142,12.59829712,14.31507111,16.04426956,8.582108498,14.40646648,12.40747643
2024-06-25 0:00:00,29.23545837,23.83357048,27.09542084,29.04174614,9.404011726,33.96300888,29.01526451,23.17265129,25.73386765,25.65242195,18.90804672,28.92046928,27.97537231,33.97011185,35.32244873,23.58972931,30.34799576,34.43404007,22.40205383,30.38917542,26.65791512,24.86256409,27.48274803,27.65622711,27.12540245,30.17106628,24.76609802,28.02009964,15.12799549,24.41059303,33.03015137,35.8261795,28.84103966,29.58223724,35.71686935,24.71210289
2024-06-26 0:00:00,88.8,56.4,89.78,54.39,32.43,46.8,45.25,51.91,65.05,103.85,94.17,77.92,58.21,91.75,97.09,86.34,93.58,75.03,71.81,56.2,94.72,46.34,47.27,77.9,54.55,34.16,64.34,77.89,26.83,67.39,84.36,62.09,123.51,63.88,77.24,86.83
2024-06-27 0:00:00,41.76789093,18.2974987,60.92681885,31.13560295,30.81803131,83.47776031,114.3731308,44.27432632,29.84648132,79.88742828,53.27415085,53.66106796,45.52301025,31.58683586,72.30433655,23.76261902,54.04080963,54.38663101,62.99087143,112.382225,81.48390198,79.63037872,58.12715912,78.18761444,105.7539139,41.11513519,52.15128326,83.50629425,26.43843269,35.81902695,79.39168549,18.63559151,96.992836,92.76947021,16.42703629,41.17811203
2024-06-28 0:00:00,36.22561646,27.91798973,40.11419678,32.18406677,20.9585495,45.77078247,99.10572052,25.980196,21.78752136,106.8906784,119.8120651,35.43279648,34.66889954,36.31555557,98.29515076,32.73055267,42.79117966,41.09742737,46.05259323,37.00577927,36.12329483,40.9641037,32.95786285,48.02479553,45.12004089,35.41564178,128.5781555,37.95232773,16.93557739,27.53907776,97.93553925,37.76800537,100.4606705,46.4538002,37.14828873,37.29465866
2024-06-29 0:00:00,17.10185242,17.39607239,21.19355202,19.14374542,16.730896,24.80448914,16.29173279,15.8214817,13.18248367,24.08379173,21.05371284,20.87230682,17.66235924,13.86013699,27.95189667,18.25226784,25.86623383,23.75244331,16.59036255,22.56222916,23.19102287,22.67472076,21.92471313,17.32188416,22.74725914,16.30084229,23.081707,25.89527512,13.77761269,16.78554726,23.55529404,22.22019958,23.81564713,24.48656082,22.15736771,20.82527924
2024-06-30 0:00:00,23.48,25.47,30.9,26,20.16,32.42,24.48,19.89,17.82,28.7,29.61,25.96,25.38,25.38,34.31,26.91,31.63,30.04,25.79,34.94,28.16,29.78,26.99,30.4,32.61,26.46,31.14,31.45,18.44,19.41,32.62,27.9,29.71,34.88,28.26,24.3
2024-07-01 0:00:00,23.25,15.77,21.59,19.89,14.94,28.76,16.38,16.84,12.63,26.15,18.41,22.42,20.2,16.59,26.54,19.38,27.47,26.91,17.83,22.95,25,21.45,22.43,19.69,24.94,24.41,28.15,23.57,11.29,18.67,24.92,21.93,27,24.56,21.36,23.72
2024-07-02 0:00:00,14.43,12.95,14.05,12.05,9.79,17.52,9.55,12.96,9.32,17.26,11.48,13.2,17.11,8.42,19.63,11.13,16.2,19.65,9.43,13.92,20.69,13.58,14.62,13.67,16.43,15.07,18.45,15.85,8.92,10.76,16.32,18.49,14.13,15.11,7.38,15.25
2024-07-03 0:00:00,10.21,4.09,9.05,5.17,6.39,12.25,6.51,6.51,4.21,10.06,5.62,9.64,13.14,4.65,10.95,4.86,9.97,10.02,5.25,7.27,13.48,9.59,13.52,2.44,9.32,1.85,8.97,11.62,7.34,6.74,10.39,4.46,6.99,10.47,6,8.46
2024-07-04 0:00:00,12.25,6.84,8.54,12.21,9.19,16.37,8.47,6.51,8.52,16.67,8.34,13.14,12.78,5.5,13.89,6.24,18.64,15.98,7.53,6.77,15.29,13.09,14.06,9.52,8.84,0,11.64,10.77,9.19,10.97,11.39,14.08,15.7,9.29,16.06,13.45
